Player,fd_line,fd_over_odds,fd_under_odds
aaron jones,750.5,-114,-114
alvin kamara,775.5,-114,-114
ashton jeanty,1075.5,-114,-114
bijan robinson,1200.5,-114,-114
breece hall,900.5,-114,-114
brian robinson,725.5,-114,-114
bucky irving,1000.5,-114,-114
caleb williams,400.5,-114,-114
chase brown,850.5,-114,-114
christian mccaffrey,950.5,-114,-114
chuba hubbard,950.5,-114,-114
david montgomery,725.5,-114,-114
devon achane,875.5,-114,-114
dandre swift,800.5,-114,-114
derrick henry,1325.5,-114,-114
jahmyr gibbs,1075.5,-114,-114
james conner,900.5,-114,-114
james cook,950.5,-114,-114
jalen hurts,600.5,-114,-114
jayden daniels,675.5,-114,-114
jonathan taylor,1175.5,-114,-114
josh allen,500.5,-114,-114
josh jacobs,1050.5,-114,-114
kenneth walker,875.5,-114,-114
kyler murray,475.5,-114,-114
kyren williams,1000.5,-114,-114
lamar jackson,750.5,-114,-114
saquon barkley,1450.5,-114,-114
tony pollard,875.5,-114,-114
