Player,dk_line,dk_over_odds,dk_under_odds
jamarr chase,1300.5,-110,-110
brian thomas,1150.5,-110,-110
zay flowers,900.5,-110,-110
marvin harrison,975.5,-110,-110
ceedee lamb,1200.5,-110,-110
george pickens,900.5,-110,-110
justin jefferson,1250.5,-110,-110
malik nabers,1150.5,-110,-110
mike evans,950.5,-120,100
devonta smith,850.5,-110,-110
amon-ra st brown,1100.5,-110,-110
puka nacua,1200.5,-110,-110
aj brown,1100.5,-110,-110
tyreek hill,975.5,-115,-105
dj moore,975.5,-110,-110
ladd mcconkey,1025.5,-120,100
terry mclaurin,1000.5,-105,-115
travis kelce,700.5,-115,-105
trey mcbride,900.5,-110,-110
brock bowers,1000.5,-120,100
courtland sutton,875.5,-110,-110
nico collins,1125.5,-110,-110
drake london,1125.5,-110,-110
sam laporta,675.5,-110,-110
garrett wilson,925.5,-115,-105
stefon diggs,725.5,-135,110
travis hunter,725.5,-135,110
matthew golden,700.5,-110,-110
tetairoa mcmillan,800.5,-115,-105
davante adams,950.5,-105,-115
dk metcalf,950.5,-120,100
tee higgins,975.5,-110,-110
keon coleman,750.5,-110,-110
chris olave,825.5,-110,-110
mark andrews,575.5,-110,-110
jameson williams,875.5,-120,100
george kittle,900.5,-110,-110
rome odunze,800.5,-120,100
jaylen waddle,925.5,-110,-110
jakobi meyers,800.5,-105,-115
cooper kupp,700.5,-105,-115
tyler warren,525.5,-110,-110
dalton kincaid,550.5,-110,-110
rashod bateman,575.5,100,-120
kyle pitts,550.5,-110,-110
michael pittman,750.5,-110,-110
jake ferguson,550.5,-110,-110
marvin mims,550.5,110,-130
tj hockenson,700.5,-110,-110
tucker kraft,600.5,-110,-110
adam thielen,575.5,100,-120
jayden higgins,650.5,-110,-110
xavier worthy,900.5,-115,-105
dallas goedert,575.5,-110,-110
josh downs,700.5,-115,-105
rashid shaheed,700.5,-110,-110
marquise brown,575.5,-110,-110
xavier legette,575.5,-110,-110
david njoku,675.5,-110,-110
jerry jeudy,925.5,-110,-110
evan engram,575.5,-110,-110
calvin ridley,925.5,-110,-110
chris godwin,725.5,105,-125
jaxon smith-njigba,975.5,-110,-110
jayden reed,700.5,-110,-110
khalil shakir,775.5,-110,-110
jordan addison,750.5,100,-120
deebo samuel,675.5,-110,-110
